AlleghenyServiceberry,9,Oval,Medium
AmericanBasswood,27,Heart,Medium
AbiesConcolor,18,Needle,Medium
AcerSaccharinum,20,Maple,Medium
AcerSaccharum,30,Maple,Medium
CatalpaBignonioides,13,Heart,Low
CercisCanadensis,9,Heart,Low
ChamaecyparisThyoides,12,Scale,Low
ChionanthusVirginicus,5,Spear,High
EhretiaAnacua,5,Oval,Low
ForestieraAngustifolia,1.3,Oval,Low
FraxinusAmericana,16,Paddle,High
MimosaTexana,1.5,Oblong,Low
